date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:56	113/113	---M-Z	200	added ('OK')	text/plain	date:Sat,%2008%20Oct%202022%2014:18:00%20GMT	https://augustohack.com.br/robots.txt		(from )
11:17:57	107846/107846	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Oct%202022%2014:18:00%20GMT	https://augustohack.com.br/viver-de-home-office/	C:/Users/Erileudo/Desktop/SITE%20AUGUSTO/AUGUSTO/augustohack.com.br/viver-de-home-office/index.html	(from )
11:17:58	88932/88932	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2012:10:37%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/css/dist/block-library/style.min.css	C:/Users/Erileudo/Desktop/SITE%20AUGUSTO/AUGUSTO/c0.wp.com/c/6.0.2/wp-includes/css/dist/block-library/style.min.css	(from https://augustohack.com.br/viver-de-home-office/)
11:17:58	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/Users/Erileudo/Desktop/SITE%20AUGUSTO/AUGUSTO/c0.wp.com/c/6.0.2/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://augustohack.com.br/viver-de-home-office/)
11:17:59	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.0.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/Users/Erileudo/Desktop/SITE%20AUGUSTO/AUGUSTO/c0.wp.com/c/6.0.2/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://augustohack.com.br/viver-de-home-office/)
11:17:59	19510/19510	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Mar%202022%2011:18:58%20GMT	https://augustohack.com.br/wp-content/themes/generatepress/assets/css/main.min.css?ver=3.1.3	C:/Users/Erileudo/Desktop/SITE%20AUGUSTO/AUGUSTO/augustohack.com.br/wp-content/themes/generatepress/assets/css/main.min583f.css	(from https://augustohack.com.br/viver-de-home-office/)
11:18:00	5326/5326	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Mar%202022%2011:28:50%20GMT	https://augustohack.com.br/wp-content/plugins/cookie-notice/css/front.min.css?ver=6.0.2	C:/Users/Erileudo/Desktop/SITE%20AUGUSTO/AUGUSTO/augustohack.com.br/wp-content/plugins/cookie-notice/css/front.min5b21.css	(from https://augustohack.com.br/viver-de-home-office/)
11:18:00	15058/15058	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202022%2022:46:33%20GMT	https://augustohack.com.br/wp-content/plugins/creame-whatsapp-me/public/css/joinchat.min.css?ver=4.5.10	C:/Users/Erileudo/Desktop/SITE%20AUGUSTO/AUGUSTO/augustohack.com.br/wp-content/plugins/creame-whatsapp-me/public/css/joinchat.min3172.css	(from https://augustohack.com.br/viver-de-home-office/)
11:18:00	16636/16636	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Mar%202022%2011:19:56%20GMT	https://augustohack.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	C:/Users/Erileudo/Desktop/SITE%20AUGUSTO/AUGUSTO/augustohack.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min74e5.css	(from https://augustohack.com.br/viver-de-home-office/)
11:18:00	18468/18468	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Mar%202022%2011:19:56%20GMT	https://augustohack.com.br/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.14	C:/Users/Erileudo/Desktop/SITE%20AUGUSTO/AUGUSTO/augustohack.com.br/wp-content/plugins/elementor/assets/lib/animations/animations.minc578.css	(from https://augustohack.com.br/viver-de-home-office/)
